#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : Copernicus
#Format Version : 1.0
#Last Update : 20200615091703
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2007.nc,33.76330,43.48750,-15.48750,13.75330,2007-07-03T05:17:00Z,2007-10-10T05:16:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:09Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2008.nc,33.52440,55.47640,-33.91890,32.76170,2008-04-24T05:11:00Z,2008-10-30T06:07:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:09Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2009.nc,-15.18000,48.48000,-60.44000,7.93000,2009-08-06T06:52:00Z,2009-12-31T10:22:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:09Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2013.nc,-8.11667,44.10000,-59.36666,10.13333,2013-01-12T11:33:00Z,2013-08-03T05:13:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:09Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2016.nc,5.00000,78.08334,-77.81667,20.23333,2016-01-04T12:29:00Z,2016-12-31T12:10:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:08Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2017.nc,12.90000,63.00167,-75.91666,9.63333,2017-01-01T12:00:00Z,2017-11-13T09:40:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:09Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2018.nc,29.00000,43.93333,-43.31667,27.95000,2018-02-03T16:03:00Z,2018-10-21T05:09:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:08Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNFP_2004.nc,36.00000,59.86000,-42.48000,8.12110,2004-03-30T06:03:00Z,2004-11-08T06:20:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:08Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNFP_2006.nc,41.29640,56.25750,-9.32560,6.72140,2006-01-27T10:38:00Z,2006-05-30T05:32:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:15:53Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FNHO.nc,5.16667,71.38333,-60.86666,23.70000,2005-01-26T19:05:00Z,2016-12-22T11:12:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:14Z,R, DEPH PSAL
