# Title : in-situ platforms catalog
# Description : catalog of available MED in-situ platforms
# Project : Copernicus (generated by Hellenic Centre for Marine Research-GREECE)
# Format version : 1.0
# Date of update : 20200330051707
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameter,last_latitude_observation,last_longitude_observation,last_date_observation
0-3104088,2019-07-08T10:08:45Z,2019-07-08T10:08:45Z, ,MO_TS_DC_0-3104088_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.4118,3.4493139,2018-06-18T21:00:00Z
0-3104089,2019-07-08T10:08:31Z,2019-07-08T10:08:31Z, ,MO_TS_DC_0-3104089_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,41.289783,9.602222,2017-10-26T09:00:00Z
0-3105535,2019-07-08T10:09:01Z,2019-07-08T10:09:01Z, ,MO_TS_DC_0-3105535_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,41.865696,11.795267,2018-07-31T21:00:00Z
0-3105541,2019-07-08T10:08:31Z,2019-07-08T10:08:31Z, ,MO_TS_DC_0-3105541_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.351532,10.12578,2017-10-26T02:59:58Z
0-3106100,2019-07-08T10:09:02Z,2019-07-08T10:09:02Z, ,MO_TS_DC_0-3106100_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.695023,5.504708,2018-07-04T15:00:00Z
0-3106106,2019-07-08T10:08:46Z,2019-07-08T10:08:46Z, ,MO_TS_DC_0-3106106_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.96458,3.9348304,2018-06-26T03:00:00Z
0-3106108,2019-07-08T10:08:46Z,2019-07-08T10:08:46Z, ,MO_TS_DC_0-3106108_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.657406,2.6126053,2018-06-16T12:00:00Z
0-3106300,2019-07-08T10:08:31Z,2019-07-08T10:08:31Z, ,MO_TS_DC_0-3106300_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.353195,10.164736,2017-10-14T00:00:00Z
0-3106746,2019-07-08T10:08:46Z,2019-07-08T10:08:46Z, ,MO_TS_DC_0-3106746_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.559322,3.5714128,2018-06-17T21:00:00Z
0-3106753,2019-07-08T10:08:46Z,2019-07-08T10:08:46Z, ,MO_TS_DC_0-3106753_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.991234,4.0947905,2018-06-16T09:00:00Z
02461,2020-03-08T17:12:56Z,2020-03-08T17:12:56Z, ,MO_TS_DC_02461,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.852448,24.522741,2008-10-25T21:00:00Z
03999,2020-03-08T17:12:57Z,2020-03-08T17:12:57Z, ,MO_TS_DC_03999,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,45.16361,13.4472685,2003-07-15T09:00:00Z
04001,2020-03-08T17:12:59Z,2020-03-08T17:12:59Z, ,MO_TS_DC_04001,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.765118,15.61118,2003-07-06T12:00:00Z
04010,2020-03-08T17:13:00Z,2020-03-08T17:13:00Z, ,MO_TS_DC_04010,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,45.305866,13.563338,2003-06-25T12:00:00Z
04020,2020-03-08T17:13:01Z,2020-03-08T17:13:01Z, ,MO_TS_DC_04020,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.42772,18.971642,2004-02-29T21:00:00Z
06939,2020-03-08T17:13:02Z,2020-03-08T17:13:02Z, ,MO_TS_DC_06939,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.80657,25.173042,2008-09-10T06:00:00Z
06946,2020-03-08T17:13:03Z,2020-03-08T17:13:03Z, ,MO_TS_DC_06946,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,33.722263,27.053493,2008-12-29T15:00:00Z
06950,2020-03-08T17:13:05Z,2020-03-08T17:13:05Z, ,MO_TS_DC_06950,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,40.332253,24.212921,2009-02-25T15:00:00Z
06951,2020-03-08T17:13:06Z,2020-03-08T17:13:06Z, ,MO_TS_DC_06951,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.878887,25.682056,2008-12-21T09:00:00Z
06952,2020-03-08T17:13:07Z,2020-03-08T17:13:07Z, ,MO_TS_DC_06952,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,40.4174,25.51248,2009-02-19T09:00:00Z
06953,2020-03-08T17:13:08Z,2020-03-08T17:13:08Z, ,MO_TS_DC_06953,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.7384,3.7784684,2012-11-27T12:00:00Z
06954,2020-03-08T17:13:10Z,2020-03-08T17:13:10Z, ,MO_TS_DC_06954,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.933895,16.05579,2003-02-03T03:00:00Z
06955,2020-03-08T17:13:11Z,2020-03-08T17:13:11Z, ,MO_TS_DC_06955,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,44.028397,9.912263,2007-07-30T12:00:00Z
06956,2020-03-08T17:13:12Z,2020-03-08T17:13:12Z, ,MO_TS_DC_06956,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.45785,23.66853,2008-10-11T21:00:00Z
06957,2020-03-08T17:13:13Z,2020-03-08T17:13:13Z, ,MO_TS_DC_06957,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,38.838787,24.526007,2009-03-29T06:00:00Z
06SW,2019-09-28T19:24:21Z,2019-09-28T19:24:21Z,DCHO,GL_PR_XX_06SW,Germany (Unknown), , DEPH TEMP,36.65,-1.75,2010-10-03T12:45:00Z
06SW,2019-05-10T17:52:40Z,2019-05-10T17:52:40Z,DCHO,GL_PR_CT_06SW,Germany (Unknown), , DEPH TEMP,41.0,10.483,2010-07-01T10:49:48Z
100536,2019-05-10T10:59:34Z,2019-05-10T10:59:34Z,100536,GL_TS_DB_100536_YYYYMM,Unknown institution, , DEPH TEMP,42.1997,7.5268,2015-07-28T20:00:00Z
100537,2019-05-10T10:59:34Z,2019-05-10T10:59:34Z,100537,GL_TS_DB_100537_YYYYMM,Unknown institution, , DEPH TEMP,39.0334,1.3362,2015-07-19T06:00:00Z
100538,2019-05-10T11:00:20Z,2019-05-10T11:00:20Z,100538,GL_TS_DB_100538_YYYYMM,Unknown institution, , DEPH TEMP,38.0397,6.0252,2015-10-13T06:00:00Z
100539,2019-05-10T11:00:20Z,2019-05-10T11:00:20Z,100539,GL_TS_DB_100539_YYYYMM,Unknown institution, , DEPH TEMP,37.5983,-0.9744,2015-08-18T05:00:00Z
100863,2019-05-10T11:06:45Z,2019-05-10T11:06:45Z,100863,GL_TS_DB_100863_YYYYMM,Unknown institution, , DEPH TEMP,39.9782,0.8676,2015-10-13T06:00:00Z
100864,2019-05-10T11:06:42Z,2019-05-10T11:06:42Z,100864,GL_TS_DB_100864_YYYYMM,Unknown institution, , DEPH TEMP,36.5204,10.9819,2015-09-23T09:00:00Z
100865,2019-05-10T11:06:42Z,2019-05-10T11:06:42Z,100865,GL_TS_DB_100865_YYYYMM,Unknown institution, , DEPH TEMP,41.1151,3.4953,2015-10-13T06:00:00Z
100866,2019-05-10T11:06:42Z,2019-05-10T11:06:42Z,100866,GL_TS_DB_100866_YYYYMM,Unknown institution, , DEPH TEMP,40.1935,5.0579,2015-10-13T05:00:00Z
100867,2019-05-10T11:06:43Z,2019-05-10T11:06:43Z,100867,GL_TS_DB_100867_YYYYMM,Unknown institution, , DEPH TEMP,42.4149,3.6496,2015-10-13T06:00:00Z
108738,2020-03-08T17:13:14Z,2020-03-08T17:13:14Z, ,MO_TS_DC_108738,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.894653,16.678612,2011-10-06T03:00:00Z
108739,2020-03-08T17:13:15Z,2020-03-08T17:13:15Z, ,MO_TS_DC_108739,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.260895,17.48661,2011-10-06T03:00:00Z
108742,2020-03-08T17:13:17Z,2020-03-08T17:13:17Z, ,MO_TS_DC_108742,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.61486,17.963749,2011-10-06T03:00:00Z
108743,2020-03-08T17:13:18Z,2020-03-08T17:13:18Z, ,MO_TS_DC_108743,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.77347,19.08843,2012-03-01T06:00:00Z
108744,2020-03-08T17:13:19Z,2020-03-08T17:13:19Z, ,MO_TS_DC_108744,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,45.716652,13.749999,2012-04-04T00:00:00Z
11440,2020-03-08T17:13:20Z,2020-03-08T17:13:20Z, ,MO_TS_DC_11440,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.361233,14.573965,2003-03-16T15:00:00Z
1200518,2019-05-10T11:25:39Z,2019-05-10T11:25:39Z,1200518,GL_TS_DB_1200518_YYYYMM,Unknown institution, , DEPH ATMS TEMP PSAL,32.3966,32.4888,2017-08-22T18:00:00Z
1200519,2020-03-08T17:13:21Z,2020-03-08T17:13:21Z,1200519,MO_TS_DC_1200519,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.4168,10.795291,2003-05-24T06:00:00Z
