#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : Copernicus
#Format Version : 1.0
#Last Update : 20200615111537
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902936_20200516.nc,42.73440,42.73440,8.90235,8.90235,2020-05-16T02:55:30Z,2020-05-16T02:55:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-16T06:02:08Z,R, PRES DOX2_ADJUSTED_ERROR DOX2_ADJUSTED PSAL TEMP DOX2
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902937_20200516.nc,41.25932,41.25932,6.02194,6.02194,2020-05-16T02:13:30Z,2020-05-16T02:13:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-16T05:02:20Z,R, PRES DOX2_ADJUSTED_ERROR DOX2_ADJUSTED PSAL TEMP DOX2
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902944_20200516.nc,39.24925,39.24925,11.90342,11.90342,2020-05-16T05:48:30Z,2020-05-16T05:48:30Z,SHOM  Service Hydrographique et Oceanographique de la Marine,2020-05-16T08:04:43Z,R, PRES PSAL TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6903237_20200516.nc,33.33913,33.33913,22.12909,22.12909,2020-05-16T05:56:30Z,2020-05-16T05:56:30Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T09:01:50Z,R, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6903238_20200516.nc,38.57661,38.57661,11.40794,11.40794,2020-05-16T06:01:30Z,2020-05-16T06:01:30Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T09:01:52Z,R, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6903241_20200516.nc,33.75230,33.75230,13.42381,13.42381,2020-05-16T06:07:00Z,2020-05-16T06:07:00Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T08:04:47Z,R, PRES TEMP PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6903250_20200516.nc,41.72836,41.73190,17.93354,17.93528,2020-05-16T11:38:00Z,2020-05-16T13:06:00Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-21T19:01:27Z,R, PRES PSAL TEMP DOX2 LGHT DOWN_IRRADIANCE490 DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 CDOM BBP700 CPHL CPHL_ADJUSTED NTAW NTAW_ADJUSTED NTAW_ADJUSTED_ERROR
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6903779_20200516.nc,41.58930,41.58930,9.90354,9.90354,2020-05-16T12:18:20Z,2020-05-16T12:18:20Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T15:03:05Z,R, PRES TEMP PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-DeltaEbro-ALFA_20200516.nc,39.5851,41.2331,0.06352,2.0781,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,PUERTOS DEL ESTADO,2020-05-17T08:34:02Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-DeltaEbro-SALO_20200516.nc,39.5851,41.2331,0.06352,2.0781,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,PUERTOS DEL ESTADO,2020-05-17T08:34:30Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-Gibraltar-CARN_20200516.nc,35.8006,36.1971,-5.8537,-4.9887,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,PUERTOS DEL ESTADO,2020-05-18T04:30:38Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-Gibraltar-CEUT_20200516.nc,35.8006,36.1971,-5.8537,-4.9887,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,PUERTOS DEL ESTADO,2020-05-18T04:30:57Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-Gibraltar-TARI_20200516.nc,35.8006,36.1971,-5.8537,-4.9887,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,PUERTOS DEL ESTADO,2020-05-18T04:31:34Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-Ibiza-HFR-Ibiza-FORM_20200516.nc,38.3095,39.1202,0.48664,1.4179,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,SOCIB - Balearic Islands Coastal Observing and forecasting System,2020-05-17T08:37:44Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-Ibiza-HFR-Ibiza-GALF_20200516.nc,38.3095,39.1202,0.48664,1.4179,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,SOCIB - Balearic Islands Coastal Observing and forecasting System,2020-05-17T08:38:14Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-TirLig-PCOR_20200516.nc,43.5,44.23,9.2,10.5,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,National Research Council - Institute of Marine Science,2020-05-19T22:57:01Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_RV_HF_HFR-TirLig-TINO_20200516.nc,43.5,44.23,9.2,10.5,2020-05-15T23:30:00Z,2020-05-16T23:30:00Z,National Research Council - Institute of Marine Science,2020-05-19T22:58:27Z,R, BEAR RNGE DEPH crs SDN_EDMO_CODE RDVA DRVA EWCT NSCT ESPC ETMP MAXV MINV ERSC ERTC XDST YDST SPRC SLTR SLNR SLTT SLNT
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_TS_DB_6102508_20200516.nc,33.61360,33.66560,29.99100,30.04300,2020-05-16T00:00:00Z,2020-05-16T23:00:00Z,Unknown institution,2020-05-17T01:54:06Z,R, DEPH ATMS TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_TS_DB_6102574_20200516.nc,40.52073,40.52171,17.11296,17.11444,2020-05-16T00:00:00Z,2020-05-16T23:00:00Z,National Data Buoy Center (NDBC)  National Oceanic and Atmospheric Administration (NOAA),2020-05-17T01:54:08Z,R, DEPH TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_TS_DB_6102762_20200516.nc,34.35085,34.40316,26.49715,26.74136,2020-05-16T00:00:00Z,2020-05-16T23:01:00Z,National Data Buoy Center (NDBC)  National Oceanic and Atmospheric Administration (NOAA),2020-05-17T01:54:10Z,R, DEPH TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_TS_DB_6102763_20200516.nc,32.14859,32.16171,32.16483,32.20457,2020-05-16T00:02:00Z,2020-05-16T23:00:00Z,National Data Buoy Center (NDBC)  National Oceanic and Atmospheric Administration (NOAA),2020-05-17T01:54:12Z,R, DEPH TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_TS_DB_6202685_20200516.nc,39.26100,39.39700,11.33180,11.45580,2020-05-16T00:00:00Z,2020-05-16T23:00:00Z,National Data Buoy Center (NDBC)  National Oceanic and Atmospheric Administration (NOAA),2020-05-17T01:56:12Z,R, DEPH ATMS TEMP
